HSNCode,Description,Length
07131000,"DRIED LEGUMINOUS VEGETABLES, SHELLED,WHETHER OR NOT SKINNED OR SPLIT PEAS (PISUM SATIVUM)",8
07131010,Yellow Peas,8
07131020,Green Peas,8
07131090,Other,8
071320,CHICKPEAS (GARBANZOS):,6
07132000,"DRIED LEGUMINOUS VEGETABLES, SHELLED,WHETHER OR NOT SKINNED OR SPLIT CHICKPEAS (GARBANZOS) BEANS (VIGNA SPP., PHASEOLUS SPP.) :",8
07132010,KABULI CHANA,8
07132020,BENGAL GRAM (DESI CHANA),8
07132090,Other,8
071331,BEANS OF THE SPECIES VIGNA MUNGO (L.) HEPPER OR VIGNA RADIATA (L.) WILCZEK,6
07133100,"DRIED LEGUMINOUS VEGETABLES, SHELLED,WHETHER OR NOT SKINNED OR SPLIT BEANS (VIGNA SPP., PHASEOLUS SPP.) : BEANS OF THE SPECIES VIGNA MUNGO (L.) HEPPER OR VIGNA RADIATA (L.) WILCZEK",8
07133110,BEANS OF THE SPECIES VIGNA MUNGO (L.) HEPPER,8
07133190,BEANS OF THE SPECIES VIGNA RADIATA (L.) WILCZEK,8
071332,SMALL RED (ADZUKI) BEANS (PHASEOLUS OR VIGNA ANGULARIS),6
07133200,SMALL RED (ADZUKI) BEANS (PHASEOLUS OR VIGNA ANGULARIS),8
071333,"KIDNEY BEANS, INCLUDING WHITE PEA BEANS (PHASEOLUS VULGARIS)",6
07133300,"KIDNEY BEANS, INCLUDING WHITE PEA BEANS (PHASEOLUS VULGARIS)",8
071334,BAMBARA BEANS (VIGNA SUBTERRANEA OR VOANDZEIA SUBTERRANEA),6
07133400,BAMBARA BEANS (VIGNA SUBTERRANEA OR VOANDZEIA SUBTERRANEA),8
071335,COW PEAS (VIGNA UNGUICULATA) ,6
07133500,COW PEAS (VIGNA UNGUICULATA) ,8
071339,OTHER :,6
07133910,GUAR SEEDS KG.,8
07133990,OTHER KG.,8
071340,LENTILS KG.,6
07134000,LENTILS KG.,8
071350,"BROAD BEANS (VICIA FABA VAR MAJOR) AND HORSE KG. BEANS (VICIA FABA VAR EQUINA, VICIA FABA VAR MINOR)",6
07135000,"BROAD BEANS (VICIA FABA VAR MAJOR) AND HORSE KG. BEANS (VICIA FABA VAR EQUINA, VICIA FABA VAR MINOR)",8
071360,PIGEON PEAS (CAJANUS CAJAN),6
07136000,PIGEON PEAS (CAJANUS CAJAN),8
071390,OTHER :,6
07139010,SPLIT,8
07139090,OTHER,8
0714,"MANIOC, ARROWROOT, SALEP, JERUSALEM ARTICHOKES, SWEET POTATOES AND SIMILAR ROOTS AND TUBERS WITH HIGH STARCH OR INULIN CONTENT, FRESH, CHILLED, FROZEN OR DRIED, WHETHER OR NOT SLICED OR IN THE FORM OF PELLETS; SAGO PITH",4
071410,MANIOC (CASSAVA),6
07141000,MANIOC (CASSAVA),8
071420,SWEET POTATOES,6
07142000,SWEET POTATOES,8
071430,YAMS (DIOSCOREA SPP.),6
07143000,YAMS (DIOSCOREA SPP.),8
071440,TARO (COLOCASIA SPP.),6
07144000,TARO (COLOCASIA SPP.),8
071450,YAUTIA (XANTHOSOMA SPP.),6
07145000,YAUTIA (XANTHOSOMA SPP.),8
071490,OTHER:,6
07149010,SAGO PITH,8
07149090,OTHER,8
08,Edible fruit and nuts; peel of citrus fruit or melons,2
0801,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED",4
080111,DESICCATED,6
08011100,DESICCATED,8
080112,IN THE INNER SHELL (ENDOCARP) :,6
08011210,FRESH,8
08011220,DRIED,8
08011290,OTHER,8
080119,OTHER:,6
08011910,FRESH,8
08011920,DRIED,8
08011990,OTHER,8
080121,IN SHELL,6
08012100,IN SHELL,8
080122,SHELLED,6
08012200,SHELLED,8
080131,IN SHELL,6
08013100,In shell,8
080132,SHELLED :,6
08013210,"CASHEW KERNEL, BROKEN",8
08013220,"CASHEW KERNEL, WHOLE",8
08013290,OTHER,8
0802,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED",4
080211,IN SHELL,6
08021100,IN SHELL,8
080212,SHELLED,6
08021200,SHELLED,8
080221,IN SHELL,6
08022100,IN SHELL,8
080222,SHELLED,6
08022200,SHELLED,8
080231,IN SHELL,6
08023100,IN SHELL,8
080232,SHELLED,6
08023200,SHELLED,8
080241,IN SHELL,6
08024100,IN SHELL,8
080242,SHELLED ,6
08024200,SHELLED ,8
080251,IN SHELL,6
08025100,IN SHELL,8
080252,Shelled,6
08025200,SHELLED,8
080261,IN SHELL,6
08026100,IN SHELL,8
080262,Shelled,6
08026200,SHELLED,8
080270,KOLA NUTS (COLA SPP.),6
08027000,KOLA NUTS (COLA SPP.),8
080280,ARECA NUTS :,6
08028010,WHOLE,8
08028020,SPLIT,8
08028030,GROUND,8
08028090,OTHER,8
080290,Other,6
08029000,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - OTHER",8
080291,"PINE NUTS, IN SHELL",6
08029100,"PINE NUTS, IN SHELL",8
080292,"PINE NUTS, SHELLED",6
08029200,"PINE NUTS, SHELLED",8
080299,OTHER,6
08029900,OTHER,8
0803,"BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED",4
080310,PLANTAINS,6
08031010,CURRY PLANTAIN,8
08031090,OTHER,8
080390,OTHER :,6
08039010,"BANANAS, FRESH",8
08039090,OTHER,8
0804,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS, MANGOES, AND MANGOSTEENS, FRESH OR DRIED",4
080410,DATES :,6
08041010,FRESH (EXCLUDING WET DATES),8
08041020,SOFT (KHAYZUR OR WET DATES),8
08041030,HARD (CHHOHARA OR KHAREK),8
08041090,OTHER KG.,8
080420,FIGS :,6
08042010,FRESH KG.,8
08042090,OTHER KG.,8
080430,PINEAPPLES ,6
08043000,PINEAPPLES KG.,8
080440,AVOCADOS ,6
08044000,AVOCADOS KG.,8
080450,"GUAVAS, MANGOES AND MANGOSTEENS:",6
08045010,"GUAVAS, FRESH OR DRIED KG.",8
08045020,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS,MANGOES, AND MANGOSTEENS, FRESH OR DRIEDGUAVAS, MANGOES AND MANGOSTEENS : MANGOES, FRESH",8
08045021,ALPHONSO (HAPUS) KG.,8
08045022,BANGANAPALLI KG.,8
08045023,CHAUSA KG.,8
08045024,DASHERI KG.,8
08045025,LANGDA KG.,8
08045026,KESAR KG.,8
08045027,TOTAPURI KG.,8
08045028,MALLIKA KG.,8
08045029,OTHER KG.,8
08045030,"MANGOES, SLICED DRIED KG.",8
08045040,MANGO PULP KG.,8
08045090,OTHER KG.,8
0805,"CITRUS FRUIT, FRESH OR DRIED",4
080510,ORANGES ,6
08051000,ORANGES KG.,8
08052000,"CITRUS FRUIT, FRESH OR DRIED MANDARINS (INCLUDING TANGERINES AND SATSUMAS); CLEMENTINES, WILKINGS AND SIMILAR CITRUS HYBRIDS",8
080521,MANDARINS (INCLUDING TANGERINES AND SATSUMAS) ,6
08052100,MANDARINS (INCLUDING TANGERINES AND SATSUMAS) KG.,8
080522,CLEMENTINES ,6
08052200,CLEMENTINES KG.,8
080529,OTHER ,6
08052900,OTHER KG.,8
080540,GRAPEFRUIT AND POMELOS ,6
08054000,GRAPEFRUIT AND POMELOS KG.,8
080550,"LEMON (CITRUS LIMON, CITRUS LIMONUM) AND LIMES (CITRUS AURANTIFOLIA, CITRUS LATIFOLIA)",6
08055000,"LEMON (CITRUS LIMON, CITRUS LIMONUM) AND LIMES (CITRUS AURANTIFOLIA, CITRUS LATIFOLIA)",8
080590,OTHER KG.,6
08059000,OTHER KG.,8
0806,"GRAPES, FRESH OR DRIED",4
080610,FRESH KG.,6
08061000,FRESH KG.,8
080620,DRIED :,6
08062010,RAISINS KG.,8
08062090,OTHER KG.,8
0807,"MELONS (INCLUDING WATERMELONS) AND PAPAWS (PAPAYAS), FRESH",4
080711,WATER MELONS KG.,6
08071100,WATER MELONS KG.,8
080719,OTHER:,6
08071900,"MELONS (INCLUDING WATERMELONS) ANDPAPAWS (PAPAYAS), FRESH MELONS (INCLUDING WATERMELONS) : OTHER",8
08071910,Musk melons,8
08071990,Other,8
080720,PAPAWS (PAPAYAS),6
08072000,PAPAWS (PAPAYAS),8
0808,"APPLES, PEARS AND QUINCES, FRESH",4
080810,APPLES,6
08081000,APPLES,8
080821,Sour Cherries,6
080829,Other,6
080830,Pears,6
08083000,PEARS,8
080840,Quinces,6
08084000,QUINCES,8
0809,"APRICOTS, CHERRIES, PEACHES (INCLUDING NECTARINES), PLUMS AND SLOES, FRESH",4
080910,APRICOTS,6
08091000,APRICOTS,8
080921,SOUR CHERRIES (PRUNUS CERASUS),6
08092100,SOUR CHERRIES (PRUNUS CERASUS),8
080929,other,6
08092900,OTHER,8
080930,"PEACHES, INCLUDING NECTARINE",6
08093000,"PEACHES, INCLUDING NECTARINE",8
080940,PLUMS AND SLOES,6
08094000,PLUMS AND SLOES,8
0810,"OTHER FRUIT, FRESH",4
081010,STRAWBERRIES,6
08101000,STRAWBERRIES,8
081020,"RASPBERRIES, BLACKBERRIES, MULBERRIES AND LOGANBERRIES",6
08102000,"RASPBERRIES, BLACKBERRIES, MULBERRIES AND",8
081030,"BLACK, WHITE OR RED CURRANTS AND GOOSEBERRIES",6
08103000,"BLACK, WHITE OR RED CURRANTS AND GOOSEBERRIES",8
081040,"CRANBERRIES, BILBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM",6
08104000,"CRANBERRIES, BILBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM",8
081050,KIWI FRUIT,6
08105000,KIWI FRUIT,8
081060,DURIANS,6
08106000,DURIANS,8
081070,Persimmons,6
08107000,PERSIMMONS,8
081090,OTHER :,6
08109010,POMEGRANATES,8
08109020,"TAMARIND, FRESH",8
08109030,SAPOTA (CHICO),8
08109040,CUSTARD-APPLE (ATA),8
08109050,BORE,8
08109060,LICHI,8
08109090,OTHER,8
0811,"FRUIT AND NUTS, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",4
081110,STRAWBERRIES :,6
08111010,CONTAINING ADDED SUGAR,8
08111020,NOT CONTAINING ADDED SUGAR,8
08111090,OTHER,8
081120,"RASPBERRIES, BLACKBERRIES, MULBERRIES, LOGANBERRIES, BLACK, WHITE OR RED CURRANTS AND GOOSEBERRIES :",6
08112010,CONTAINING ADDED SUGAR,8
08112020,NOT CONTAINING ADDED SUGAR,8
08112090,OTHER,8
081190,OTHER :,6
08119010,CONTAINING ADDED SUGAR,8
08119090,OTHER,8
0812,"FRUIT AND NUTS PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION",4
081210,CHERRIES,6
08121000,CHERRIES,8
081290,OTHER :,6
08129010,MANGO SLICES IN BRINE,8
08129090,OTHER,8
0813,"FRUIT, DRIED, OTHER THAN THAT OF HEADINGS 0801 TO 0806; MIXTURES OF NUTS OR DRIED FRUITS OF THIS CHAPTER",4
081310,APRICOTS,6
08131000,APRICOTS,8
081320,PRUNES,6
08132000,PRUNES,8
081330,APPLES,6
08133000,APPLES,8
081340,OTHER FRUIT:,6
08134010,"TAMARIND, DRIED",8
08134020,SINGODA WHOLE (WATER NUT),8
08134090,OTHER,8
081350,MIXTURES OF NUTS OR DRIED FRUITS OF THIS CHAPTER:,6
08135010,MIXTURES OF NUTS,8
08135020,MIXTURES OF DRIED FRUITS,8
0814,"PEEL OF CITRUS FRUIT OR MELONS (INCLUDING WATERMELONS), FRESH, FROZEN, DRIED OR PROVISIONALLY PRESERVED IN BRINE, IN SULPHUR WATER OR IN OTHER PRESERVATIVE SOLUTIONS",4
081400,"PEEL OF CITRUS FRUIT OR MELONS (INCLUDING WATERMELONS), FRESH, FROZEN, DRIED OR PROVISIONALLY PRESERVED IN BRINE, IN SULPHUR WATER OR IN OTHER PRESERVATIVE SOLUTIONS",6
08140000,"PEEL OF CITRUS FRUIT OR MELONS (INCLUDING WATERMELONS), FRESH, FROZEN, DRIED OR PROVISIONALLY PRESERVED IN BRINE, IN SULPHUR WATER OR IN OTHER PRESERVATIVE SOLUTIONS",8
09,"Coffee, tea, mate and spices",2
0901,"COFFEE, WHETHER OR NOT ROASTED OR DACAFFEINATED, COFFEE HUSKS AND SKINS, COFFEE SUBSTITUTES CONTAINING COFFEE IN ANY PROPORTION",4
090111,NOT DECAFFEINATED :,6
09011111,A GRADE ,8
09011112,B GRADE,8
09011113,C GRADE,8
09011119,OTHER,8
09011121,AB GRADE,8
09011122,PB GRADE,8
09011123,C GRADE,8
09011124,B/B/B GRADE,8
09011129,OTHER,8
09011131,AB GRADE,8
09011132,PB GRADE,8
09011133,C GRADE,8
09011139,OTHER,8
09011141,AB GRADE,8
09011142,PB GRADE,8
09011143,C GRADE,8
09011144,B/B/B GRADE,8
09011145,BULK,8
09011149,OTHER,8
09011190,OTHER,8
090112,DECAFFEINATED,6
09011200,DECAFFEINATED,8
090121,NOT DECAFFEINATED :,6
09012110,IN BULK PACKING,8
09012190,OTHER,8
090122,DECAFFEINATED :,6
09012210,IN BULK PACKING,8
09012290,OTHER,8
090190,OTHER:,6
09019010,COFFEE HUSKS AND SKINS,8
09019020,COFFEE SUBSTITUTES CONTAINING COFFEE,8
09019090,OTHER,8
0902,"TEA, WHETHER OR NOT FLAVOURED",4
090210,GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 2,6
09021010,CONTENT NOT EXCEEDING 25 G ,8
09021020,CONTENT EXCEEDING 25 G. BUT NOT EXCEEDING 1 KG.,8
09021030,CONTENT EXCEEDING 1 KG. BUT NOT EXCEEDING 3 KG.,8
09021090,OTHER,8
090220,OTHER GREEN TEA (NOT FERMENTED):,6
09022010,GREEN TEA IN PACKETS WITH CONTENTS EXCEEDING KG. 3 KG. BUT NOT EXCEEDING 20 KG.,8
09022020,GREEN TEA IN BULK ,8
09022030,"GREEN TEA AGGLOMERATED IN FORMS SUCH AS BALL, BRICK AND TABLETS",8
09022040,GREEN TEA WASTE ,8
09022090,OTHER ,8
090230,"BLACK TEA (FERMENTED) AND PARTLY FERMENTED TEA, IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG. :",6
09023010,CONTENT NOT EXCEEDING 25 G.,8
09023020,CONTENT EXCEEDING 25 G. BUT NOT EXCEEDING 1 KG.,8
09023030,CONTENT EXCEEDING 1 KG. BUT NOT EXCEEDING 3 KG.,8
09023090,OTHER,8
090240,OTHER BLACK TEA (FERMENTED) AND OTHER PARTLY FERMENTED TEA :,6
09024010,CONTENT EXCEEDING 3 KG. BUT NOT EXCEEDING 20 KG.,8
09024020,"BLACK TEA, LEAF IN BULK ",8
09024030,"BLACK TEA, DUST IN BULK ",8
09024040,TEA BAGS ,8
09024050,"BLACK TEA, AGGLOMERATED IN FORMS SUCH AS BALL, BRICK AND TABLETS BRICK AND TABLETS",8
09024060,"BLACK TEA, WASTE ",8
09024090,OTHER ,8
0903,MATE,4
090300,MATE,6
09030000,MATE,8
0904,PEPPER OF THE GENUS PIPER; DRIED OR CRUSHED OR GROUND FRUITS OF THE GENUS CAPSICUM OR OF THE GENUS PIMENTA,4
090411,NEITHER CRUSHED NOR GROUND:,6
09041110,"PEPPER, LONG ",8
09041120,LIGHT BLACK PEPPER ,8
09041130,"BLACK PEPPER, GARBLED ",8
09041140,BLACK PEPPER UNGARBLED ,8
09041150,"GREEN PEPPER, DEHYDRATED ",8
09041160,PEPPER PINHEADS ,8
09041170,"GREEN PEPPER, FROZEN OR DRIED",8
09041180,"PEPPER OTHER THAN GREEN, FROZEN ",8
09041190,OTHER ,8
090412,CRUSHED OR GROUND ,6
09041200,CRUSHED OR GROUND ,8
090420,"Fruits of the genus Capsicum or of the genus Pimenta, dried or crushed or ground",6
090421,"DRIED, NEIHER CRUSHED NOR GROUND:",6
09042110,OF GENUS CAPSICUM,8
09042120,OF GENUS PIMENTA ,8
090422,CRUSHED OR GROUND : ,6
09042211,CHILLY POWER ,8
09042212,PEPPER OF THE GENUS PIPER; DRIED OR CRUSHED OR GROUND  FRUITS OF THE GENUS CAPSICUM OF THE GENUS PIMENTA - FRUITS OF THE GENUS CAPSICUM OR OF THE GENUS PIMENTA -- CRUSHED OR GROUND --- OF GENUS CAPSICUM---- CHILLY SEEDS,8
09042219,OTHER,8
09042221,POWDER,8
09042229,OTHER,8
0905,VANILLA,4
090500,Vanilla,6
090510,NEITHER CRUSHED NOR GROUND,6
09051000,NEITHER CRUSHED NOR GROUND,8
090520,Crushed or ground,6
09052000,CRUSHED OR GROUND,8
0906,CINNAMON AND CINNAMON-TREE FLOWERS,4
09061010,CINNAMON AND CINNAMON-TREE FLOWERS NEITHER CRUSHED NOR GROUND : CASSIA,8
09061020,CINNAMON AND CINNAMON-TREE FLOWERS NEITHER CRUSHED NOR GROUND : CINNAMON BARK,8
09061030,CINNAMON AND CINNAMON-TREE FLOWERS NEITHER CRUSHED NOR GROUND : CINNAMON TREE FLOWERS,8
09061090,CINNAMON AND CINNAMON-TREE FLOWERS NEITHER CRUSHED NOR GROUND : OTHER,8
090611,Cinnamon (Cinnamomum Zeylanicum Blume),6
09061110,CINNAMON BARK,8
09061120,CINNAMON TREE FLOWERS,8
09061190,OTHER,8
090619,OTHER:,6
09061910,CASSIA,8
09061990,OTHER,8
090620,CRUSHED OR GROUND,6
09062000,CRUSHED OR GROUND,8
0907,"CLOVES (WHOLE FRUIT, CLOVES AND STEMS)",4
090710,NEITHER CRUSHED NOR GROUND :,6
09071010,EXTRACTED,8
09071020,NOT EXTRACTED (OTHER THAN STEM),8
09071030,STEM,8
09071090,OTHER,8
090720,crushed or ground,6
09072000,CRUSHED OR GROUND,8
0908,"NUTMEG, MACE AND CARDAMOMS",4
090810,Nutmeg,6
090811,NEITHER CRUSHED NOR GROUND :,6
09081110,IN SHELL,8
09081120,SHELLED,8
090812,CRUSHED OR GROUND MACE :,6
09081200,CRUSHED OR GROUND,8
090821,NEITHER CRUSHED NOR GROUND,6
09082100,NEITHER CRUSHED NOR GROUND,8
090822,CRUSHED OR GROUND ,6
09082200,CRUSHED OR GROUND,8
090830,Cardamoms,6
090831,NEITHER CRUSHED NOR GROUND :,6
09083110,LARGE (AMONUM),8
09083120,"SMALL (ELLETTARIA), ALLEPPEY GREEN",8
09083130,"SMALL, COORGE GREEN",8
09083140,"SMALL, BLEACHED, HALF BLEACHED OR BLEACHABLE",8
09083150,"SMALL, MIXED",8
09083190,OTHER,8
090832,CRUSHED OR GROUND :,6
09083210,POWDER,8
09083220,SMALL CARDAMOM SEEDS,8
09083230,CARDAMOM HUSK,8
09083290,OTHER,8
0909,"SEEDS OF ANISE, BADIAN, FENNEL, CORIANDER, CUMIN OR CARAWAY, JUNIPER BERRIES",4
090910,Seeds of anise or badian,6
090920,Seeds of coriander,6
090921,NEITHER CRUSHED NOR GROUND :,6
09092110,OF SEED QUALITY,8
09092190,OTHER,8
090922,Crushed or ground,6
09092200,CRUSHED OR GROUND,8
090930,Seeds of cumin,6
090931,NEITHER CRUSHED NOR GROUND :,6
09093111,OF SEED QUALITY,8
09093119,other,8
09093121,OF SEED QUALITY,8
09093129,OTHER,8
090932,Crushed or ground,6
09093200,CRUSHED OR GROUND,8
090940,Seeds of caraway,6
090950,Seeds of fennel; juniper berries,6
090961,NEITHER CRUSHED NOR GROUND :,6
09096111,OF SEED QUALITY,8
09096119,OTHER,8
09096121,OF SEED QUALITY,8
09096129,OTHER,8
09096131,OF SEED QUALITY,8
09096139,OTHER,8
09096141,OF SEED QUALITY,8
09096149,OTHER,8
090962,CRUSHED OR GROUND :,6
09096210,ANISE,8
09096220,BADIAN,8
09096230,CARAWAY OR FENNEL,8
09096240,JUNIPER BERRIES,8
0910,"GINGER, SAFFRON, TURMERIC (CURCUMA), THYME, BAY LEAVES, CURRY AND OTHER SPICES",4
091010,Ginger,6
091011,NEITHER CRUSHED NOR GROUND:,6
09101110,FRESH,8
09101120,"DRIED, UNBLEACHED",8
09101130,"DRIED, BLEACHED",8
09101190,OTHER,8
091012,CRUSHED OR GROUND:,6
09101210,POWDER,8
09101290,OTHER,8
091020,SAFFRON :,6
09102010,SAFFRON STIGMA,8
09102020,SAFFRON STAMEN,8
09102090,OTHER,8
091030,TURMERIC (CURCUMA):,6
09103010,FRESH,8
09103020,DRIED,8
09103030,POWDER,8
09103090,OTHER,8
09104010,"GINGER, SAFFRON, TURMERIC (CURCUMA), THYME, BAY LEAVES, CURRY AND OTHER SPICES THYME; BAY `LEAVES : TEJPAT (LEAVES OF CASSIA LIGNEA)",8
09104020,"GINGER, SAFFRON, TURMERIC (CURCUMA), THYME, BAY LEAVES, CURRY AND OTHER SPICES THYME; BAY LEAVES : THYMES, NOT ELSEWHERE SPECIFIED OR INCLUDED",8
09104030,"GINGER, SAFFRON, TURMERIC (CURCUMA), THYME, BAY LEAVES, CURRY AND OTHER SPICES THYME; BAY LEAVES : BAY LEAVES, NOT ELSEWHERE SPECIFIED OR INCLUDED",8
09105000,"GINGER, SAFFRON, TURMERIC (CURCUMA), THYME, BAY LEAVES, CURRY AND OTHER SPICES CURRY",8
091091,MIXTURES REFERRED TO IN NOTE 1(B) TO THIS CHAPTER,6
09109100,MIXTURES REFERRED TO IN NOTE 1(B) TO THIS CHAPTER,8
091099,OTHER :,6
09109911,CELERY,8
09109912,FENUGREEK,8
09109913,DILL,8
09109914,AJWAIN,8
09109915,CASSIA TOREA,8
09109919,OTHER,8
09109921,CASSIA,8
09109923,CELERY,8
09109924,FENUGREEK,8
09109925,DILL,8
09109926,POPPY,8
09109927,MUSTARD,8
09109929,OTHER,8
09109930,HUSK,8
09109939,"GINGER, SAFFRON, TURMERIC (CURCUMA), THYME, BAY LEAVES, CURRY AND OTHER SPICES Other spices : Other : Husk : Other",8
09109990,OTHER,8
10,Cereals,2
1001,WHEAT AND MESLIN,4
100110,Durum wheat,6
10011010,WHEAT AND MESLIN DURUM WHEAT : OF SEED QUALITY,8
10011090,WHEAT AND MESLIN DURUM WHEAT : OTHER,8
100111,SEED,6
10011100,seed,8
100119,other,6
10011900,other,8
100190,Other,6
10019010,WHEAT AND MESLIN OTHER : WHEAT OF SEED QUALITY,8
10019020,WHEAT AND MESLIN OTHER : OTHER WHEAT,8
10019031,WHEAT AND MESLIN OTHER : MESLIN : OF SEED QUALITY,8
10019039,WHEAT AND MESLIN OTHER : MESLIN : OTHER,8
100191,SEED,6
10019100,seed,8
100199,OTHER:,6
10019910,wheat,8
10019920,Meslin,8
1002,RYE,4
100200,Rye,6
10020010,RYE RYE : OF SEED QUALITY,8
10020090,RYE RYE : OTHER,8
100210,SEED,6
10021000,Seed,8
100290,Other,6
10029000,Other,8
1003,BARLEY,4
100300,Barley,6
10030010,BARLEY BARLEY : OF SEED QUALITY,8
10030090,BARLEY BARLEY : OTHER,8
100310,seed,6
10031000,Seed,8
100390,Other,6
10039000,Other,8
1004,OATS,4
100400,Oats,6
10040010,OATS OATS : OF SEED QUALITY,8
10040090,OATS OATS : OTHER,8
100410,SEED,6
10041000,Seed,8
100490,Other,6
10049000,Other,8
1005,MAIZE (CORN),4
100510,SEED,6
10051000,SEED,8
100590,OTHER:,6
10059000,MAIZE (CORN)OTHER,8
10059011,Yellow,8
10059019,other,8
10059020,Flint corn (Zeamays var. Indurata),8
10059030,POP CORN (ZEAMAYS VAR. EVERTA),8
10059090,Other,8
1006,RICE,4
100610,RICE IN THE HUSK (PADDY OR ROUGH):,6
10061010,OF SEED QUALITY,8
10061090,OTHER,8
100620,HUSKED (BROWN) RICE,6
10062000,HUSKED (BROWN) RICE,8
100630,"SEMI-MILLED OR WHOLLY-MILLED RICE, WHETHER OR NOT POLISHED OR GLAZED :",6
10063010,"RICE, PARBOILED",8
10063020,BASMATI RICE,8
10063090,OTHER,8
100640,BROKEN RICE,6
10064000,BROKEN RICE,8
1007,GRAIN SORGHUM,4
100700,Grain sorghum,6
10070010,GRAIN SORGHUM GRAIN SORGHUM : OF SEED QUALITY,8
10070090,GRAIN SORGHUM GRAIN SORGHUM : OTHER,8
100710,Seed,6
10071000,Seed,8
100790,Other,6
10079000,Other,8
1008,"BUCKWHEAT MILLET AND CANARY SEEDS, OTHER CEREALS",4
100810,BUCKWHEAT :,6
10081010,OF SEED QUALITY,8
10081090,OTHER,8
100820,Millet,6
10082011,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : JAWAR : OF SEED QUALITY",8
10082019,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : JAWAR : OTHER",8
10082021,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : BAJRA : OF SEED QUALITY",8
10082029,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : BAJRA : OTHER",8
10082031,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : RAGI (FINGER MILLET) : OF SEED QUALITY",8
10082039,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : RAGI (FINGER MILLET) : OTHER",8
100821,SEED:,6
10082110,Jawar,8
10082120,Bajra,8
10082130,Ragi,8
10082140,BARNYARD (ECHINOCHLOA ESCULENTA (L.)) ,8
10082150,PROSO (PANICUM MILIACEUM (L.)) ,8
10082160,FOXTAIL (SETARIA ITALICA (L.)) ,8
10082170,KODO (PASPALUM SCROBICULATUM (L.)),8
10082180,LITTLE (PANICUM SUMATRENSE (L.)) ,8
10082191,AMARANTH (AMARANTHUS (L.)),8
10082199,OTHER ,8
100829,OTHER:,6
10082910,Jawar,8
10082920,Bajra,8
10082930,Ragi,8
10082940,BARNYARD (ECHINOCHLOA ESCULENTA (L.)) ,8
10082950,PROSO (PANICUM MILIACEUM (L.)) ,8
10082960,FOXTAIL (SETARIA ITALICA (L.)) ,8
10082970,KODO (PASPALUM SCROBICULATUM (L.)),8
10082980,LITTLE (PANICUM SUMATRENSE (L.)) ,8
10082991,AMARANTH (AMARANTHUS (L.)),8
10082999,OTHER ,8
100830,CANARY SEEDS:,6
10083010,OF SEED QUALITY,8
10083090,OTHER,8
100840,FONIO (DIGITARIA SPP.),6
10084000,FONIO (DIGITARIA SPP.),8
100850,QUINOA (CHENOPODIUM QUINOA),6
10085000,Quinoa (Chenopodium quinoa),8
100860,Triticale,6
10086000,Triticale,8
100890,OTHER CEREALS:,6
10089010,OF SEED QUALITY,8
10089090,OTHER,8
1009,other,4
10091090,other,8
11,Products of the milling industry; malt; starches; inulin; wheat gluten,2
1101,WHEAT OR MESLIN FLOUR,4
110100,WHEAT OR MESLIN FLOUR,6
11010000,WHEAT OR MESLIN FLOUR,8
1102,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN,4
11021000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN RYE FLOUR,8
110220,MAIZE (CORN) FLOUR,6
11022000,MAIZE (CORN) FLOUR,8
11023000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN RICE FLOUR,8
110290,OTHER :,6
11029000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN OTHER,8
11029010,RYE FLOUR,8
11029021,Brown rice flour,8
11029022,white rice flour,8
11029029,other,8
11029090,Other,8
1103,"CEREAL GROATS, MEAL AND PELLETS",4
110311,OF WHEAT :,6
11031110,GROAT,8
11031120,MEAL,8
110313,OF MAIZE (CORN),6
11031300,OF MAIZE (CORN),8
110319,OF OTHER CEREALS,6
11031900,OF OTHER CEREALS,8
110320,PELLETS,6
11032000,PELLETS,8
